,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
197,2020年10月15日,347.5,343.54,348.01,343.54,60.36,-0.12,1602691200.0,347.5,344.582,339.5075,342.47650000000004,346.0803846153847,356.9998148148148,2020-10-15
198,2020年10月16日,347.29,348.96,350.75,347.1,89.5,-0.06,1602777600.0,347.29,344.004,338.0658333333333,342.76200000000006,346.3815384615385,357.1790566037736,2020-10-16
199,2020年10月19日,342.01,348.65,349.33,341.04,67.26,-1.52,1603036800.0,342.01,343.702,337.1275,343.30250000000007,346.77269230769224,357.3692307692308,2020-10-19
200,2020年10月20日,343.38,343.46,346.88,342.64,59.39,0.4,1603123200.0,343.38,343.178,337.25499999999994,344.33050000000003,347.5884615384615,357.6703921568628,2020-10-20
201,2020年10月21日,342.73,343.33,348.68,342.4,62.46,-0.19,1603209600.0,342.73,342.14599999999996,337.8266666666666,345.1925,348.33,357.9562000000001,2020-10-21
202,2020年10月22日,344.61,342.96,345.24,340.65,54.89,0.55,1603296000.0,344.61,338.932,338.44583333333327,345.87,349.13538461538457,358.26693877551025,2020-10-22
203,2020年10月23日,345.78,345.93,345.99,343.13,49.14,0.34,1603382400.0,345.78,336.006,339.275,346.52849999999995,349.8065384615384,358.5514583333333,2020-10-23
204,2020年10月26日,339.39,342.13,342.98,335.62,89.71,-1.85,1603641600.0,339.39,332.158,339.9633333333333,347.006,350.58500000000004,358.82319148936176,2020-10-26
205,2020年10月27日,338.22,339.76,340.12,337.99,64.33,-0.34,1603728000.0,338.22,330.32000000000005,341.40333333333325,347.9095,351.6388461538462,359.245652173913,2020-10-27
206,2020年10月28日,326.66,332.1,338.25,326.13,125.7,-3.42,1603814400.0,326.66,329.882,342.6525,349.1595,352.7338461538462,359.71288888888887,2020-10-28
207,2020年10月29日,329.98,326.91,333.39,325.09,89.17,1.02,1603900800.0,329.98,333.258,345.27250000000004,350.95950000000005,354.39500000000004,360.4640909090909,2020-10-29
208,2020年10月30日,326.54,328.28,329.69,322.6,120.45,-1.04,1603987200.0,326.54,337.31,347.9883333333333,352.644,355.8992307692307,361.1730232558139,2020-10-30
209,2020年11月2日,330.2,330.2,332.36,327.24,86.07,1.12,1604246400.0,330.2,342.034,350.8283333333334,354.42,357.5773076923077,361.997619047619,2020-11-02
210,2020年11月3日,336.03,333.69,338.25,330.29,89.72,1.77,1604332800.0,336.03,346.906,353.0016666666666,356.21099999999996,358.98692307692306,362.7731707317073,2020-11-03
211,2020年11月4日,343.54,340.86,347.94,339.59,125.93,2.23,1604419200.0,343.54,350.508,354.8141666666666,357.749,360.1676923076923,363.44175,2020-11-04
